"","rmeans_nexpr","rmeans_texpr","gene"
"200738_s_at",3532.96209302326,3786.46255813953,"PGK1"
"200739_s_at",233.47696744186,244.906153488372,"SUMO3"
"200740_s_at",3329.90581395349,3178.68348837209,"SUMO3"
"200741_s_at",7170.0711627907,7386.19023255814,"RPS27"
"200742_s_at",1947.935,1718.65727906977,"TPP1"
"200743_s_at",2855.19302325581,2552.17813953488,"TPP1"
"200744_s_at",208.113509302326,281.523760465116,"GNB1"
"200745_s_at",1797.56393023256,1712.79579069767,"GNB1"
"200746_s_at",1667.37606976744,1569.35174418605,"GNB1"
"200747_s_at",156.417188372093,142.615109302326,"NUMA1"
"200748_s_at",4011.55965116279,3157.601,"FTH1"
"200749_at",666.392209302326,781.631697674419,"RAN"
"200750_s_at",689.650188372093,1439.34264418605,"RAN"
"200751_s_at",256.217402325581,425.751653488372,"HNRNPC"
"200752_s_at",71.6118348837209,95.5850627906977,"CAPN1"
"200753_x_at",1401.74679069767,1400.78558139535,"MIR636 /// SRSF2"
"200754_x_at",1851.41218604651,2673.80634883721,"MIR636 /// SRSF2"
"200755_s_at",159.7865,190.95923255814,"CALU"
"200756_x_at",925.549674418605,826.317302325581,"CALU"
"200757_s_at",1696.02151162791,1595.8533255814,"CALU"
"200758_s_at",587.266046511628,393.109302325581,"NFE2L1"
"200759_x_at",2578.2446744186,2224.39486046512,"NFE2L1"
"200760_s_at",1446.78846511628,1293.88486046512,"ARL6IP5"
"200761_s_at",3936.64279069767,3370.19209302326,"ARL6IP5"
"200762_at",3154.07511627907,2275.08776744186,"DPYSL2"
"200763_s_at",5475.17186046512,5845.24139534884,"RPLP1"
"200764_s_at",606.503255813954,539.748793023256,"CTNNA1"
"200765_x_at",2184.462,2035.163,"CTNNA1"
"200766_at",140.364888372093,240.007193023256,"CTSD"
"200767_s_at",1437.17734883721,1310.02913953488,"FAM120A"
"200768_s_at",1640.22665116279,1699.9876744186,"MAT2A"
"200769_s_at",512.220139534884,459.9915,"MAT2A"
"200770_s_at",823.533860465116,407.454139534884,"LAMC1"
"200771_at",2404.67020930233,1725.93972093023,"LAMC1"
"200772_x_at",2545.88774418605,2786.02302325581,"LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA"
"200773_x_at",3634.17139534884,3831.51209302326,"PTMA"
"200774_at",3240.98744186046,3621.71302325581,"FAM120A"
"200775_s_at",1228.11781395349,1677.58276744186,"HNRNPK"
"200776_s_at",1545.69562790698,1636.8081627907,"BZW1"
"200777_s_at",2329.25539534884,2698.23,"BZW1"
"200778_s_at",1595.21660465116,1544.65188372093,"SEPT2"
"200779_at",3824.73930232558,3206.66069767442,"ATF4"
"200780_x_at",4244.34993023256,4123.25209302326,"GNAS"
"200781_s_at",4242.41395348837,4704.9511627907,"RPS15A"
"200782_at",2687.40209302326,1914.0868372093,"ANXA5"
"200783_s_at",730.89188372093,939.530037209302,"STMN1"
"200784_s_at",296.422348837209,243.913395348837,"LRP1"
"200785_s_at",878.762441860465,711.216604651163,"LRP1"
"200786_at",1310.28406976744,1354.65197674419,"PSMB7"
"200787_s_at",1712.12434883721,1302.65137209302,"PEA15"
"200788_s_at",1957.49730232558,1425.55420930233,"PEA15"
"200789_at",1451.44434883721,897.639860465116,"ECH1"
"200790_at",1556.48965116279,1548.29274418605,"ODC1"
"200791_s_at",918.870906976744,1007.50081395349,"IQGAP1"
"200792_at",1276.85765116279,1588.12113953488,"XRCC6"
"200793_s_at",1181.94181395349,795.192227906977,"ACO2"
"200794_x_at",3043.43627906977,3368.63511627907,"DAZAP2"
"200795_at",5654.39744186046,4438.84813953488,"SPARCL1"
"200796_s_at",82.5879209302326,82.555688372093,"MCL1"
"200797_s_at",1763.80895348837,1815.53711627907,"MCL1"
"200798_x_at",1504.88234883721,1468.90344186047,"MCL1"
"200799_at",4842.93069767442,3896.24488372093,"HSPA1A /// HSPA1B"
"200800_s_at",1381.78014186047,1046.21065581395,"HSPA1A /// HSPA1B /// HSPA1L"
"200801_x_at",3063.21444186047,3522.2766744186,"ACTB"
"200802_at",1203.56097674419,1113.04327906977,"SARS"
"200803_s_at",2646.861,2836.12944186047,"TMBIM6"
"200804_at",2191.15546511628,2458.81341860465,"TMBIM6"
"200805_at",482.295209302326,578.967511627907,"LMAN2"
"200806_s_at",632.936804651163,879.83951627907,"HSPD1"
"200807_s_at",4415.58046511628,5083.45162790698,"HSPD1"
